Umean,Umax,Umed,Tstart,Ttotal,Dtotal,Dispmed,dEmax,Iswim,Ibike,Turnsmed,Turnsmin,Turnsmean,Grademed,Var15,Var16,Var17
0.00289123989672621,0.0105113122072932,0.00262932591342045,13.436388887465,0.638055556453764,5.56679448435189,0.00355129960003046,3.09999999999999,1,0,0.00417307318462268,0.00209012326439004,0.00783596609361596,0,swim,Sam,20140714-122607
0.00390377787801085,0.0224646953273231,0.00343945981840881,15.9905555555597,0.906666666269302,9.78496562276272,0.00352324968675505,3.79999999999998,1,0,0.00327827834644612,0.0017776375099524,0.00622850875679609,0,swim,Sam,20140716-145925
0.000744959796084905,0.0110019834636215,0.000392313083153925,9.02749999891967,0.934722220525146,1.12757681394777,0.0112154659375106,0.299999999999997,1,0,0.0226574040033773,0.0226574040033773,0.0226574040033773,8.47000321286303,swim,Sam,20150126-170125
0.000545604467906589,0.0165663853995637,0.000300451825397102,8.35194444470108,1.01694444660097,1.15392348579158,0.0115252086470664,0.300000000000004,1,0,0.0239167008025093,0.0239167008025093,0.0239167008025093,16.4852787349115,swim,Sam,20150127-162026
0.00161367546434431,0.0229378219635783,0.000827208773831569,11.230833331123,0.788611111231148,2.50503495239034,0.0105722738675853,0.699999999999996,1,0,0.0154945136202233,0.00690945303990668,0.0154945136202233,6.85886023306375,swim,Sam,20150129-191251
0.000637399243230221,0.00691440171346649,0.000288595485022268,12.4033333333209,0.971944444812834,1.07306152396211,0.00861116334792665,0.5,1,0,0.0216311489273074,0.0216311489273074,0.0216311489273074,8.50186721143132,swim,Sam,20150201-202403
0.00262547133483103,0.0384064178194531,0.00162474193777444,6.64250000193715,0.816388889215887,4.08240499751635,0.0154513109140686,16.3,1,0,0.0154989200666891,0.00804482696319286,0.0154989200666891,14.8915935751559,swim,Sam,20150303-223822
0.000885367024798099,0.00403605376164698,0.000818565566363632,6.71722222398967,0.697777776047587,1.72799848687635,0.0158885763124279,7.3,1,0,0.0221610170482074,0.0221610170482074,0.0221610170482074,15.8103677834836,swim,Sam,20150305-224247
0.000848940520801039,0.00446777384577845,0.000663294130502749,6.90222222357988,0.658333333209157,1.5010796540072,0.01549092560924,3,1,0,0.0232815996471509,0.0232815996471509,0.0232815996471509,9.03031835020324,swim,Sam,20150308-225356
0.00129043500150161,0.00888584443916582,0.00074733318394041,6.93777777906507,0.569444445893168,1.34826019411957,0.013978367996026,19.1,1,0,0.0229640219614703,0.0229640219614703,0.0229640219614703,31.7027544141769,swim,Sam,20150310-225615
0.000807210453018523,0.0118797499371123,0.000621683902516841,7.49416666757315,0.567222224548459,1.28010544036209,0.0131587742503227,7.3,1,0,0.0231411747455966,0.0231411747455966,0.0231411747455966,15.4983823104245,swim,Sam,20150312-232938
0.00082713100770545,0.00606697965088272,0.000516897194700923,7.34305555745959,0.835555558092892,1.32391839042634,0.0114723220321964,8,1,0,0.0218861419626972,0.0218861419626972,0.0218861419626972,8.14122653356901,swim,Sam,20150316-232018
0.00093867913361132,0.0104459795559733,0.000623678078114184,11.6233333339915,0.415833332575858,0.757981515091812,0.0139223857310323,22.6,1,0,0.0222469942566559,0.0222469942566559,0.0222469942566559,144.768471995738,swim,Sam,20150321-033720
0.000522333348881206,0.00358162675003884,0.000451267979602505,7.1733333338052,0.410555555485189,0.634920381634597,0.0136788092073031,2,1,0,0.023040129969231,0.023040129969231,0.023040129969231,11.0694836918572,swim,Sam,20150324-231012
0.00334736243218396,0.0470422334580068,0.00231439547960799,9.80472222436219,0.897777778096497,7.05133421970335,0.0148899821873738,1.1,1,0,0.00710079306214409,0.00465390956063817,0.0115232070301437,4.33696221002789,swim,Sam,20150328-014800
0.000862784146116534,0.00892311185510815,0.000408838630897569,15.7716666664928,0.775833332911134,0.832660573744609,0.0143646641550818,6.39999999999999,1,0,0.0229799923154602,0.0229799923154602,0.0229799923154602,37.0991303505461,swim,Sam,20150403-074617
0.00213583037547473,0.0205291141934125,0.00109027684785897,13.1083333343267,0.490833333693445,1.62545102653555,0.0115080186721099,2.2,1,0,0.0237008246346688,0.0237008246346688,0.0237008246346688,16.2649155155338,swim,Sam,20150508-050629
0.00230648220402847,0.0260527814519844,0.00153348281089945,6.87833333294839,0.72055555600673,3.40595614690981,0.0122534698765911,2.2,1,0,0.0147021013942307,0.00749528042897612,0.0147021013942307,9.64052634350467,swim,Sam,20150519-225223
0.00176515786830945,0.0253862731229335,0.00130568320987878,7.30999999959022,0.59277777839452,2.22768381957616,0.0131521445586294,2.3,1,0,0.0226206672422885,0.0226206672422885,0.0226206672422885,37.313977622993,swim,Sam,20150525-231835
0.00293574812288328,0.0335569537782407,0.0018249894396249,15.7766666673124,0.829166667535901,4.90975447656564,0.0127731320429802,2.3,1,0,0.00809722525187162,0.0048242673876981,0.011837243203762,27.04870052931,swim,Sam,20150530-074618
0.00288073819558437,0.0316661007622392,0.00208319379943779,15.9672222230583,0.529722221195698,3.5652591036267,0.0138439283025995,2.8,1,0,0.0146840448420711,0.00714998538300225,0.0146840448420711,37.1247043108316,swim,Sam,20150605-075747
0.00271455254017827,0.0295376164929892,0.00156773963444917,7.35583333298564,0.855833332054317,4.62934471613703,0.0118526190943613,4.1,1,0,0.00834562894998983,0.00514209851978484,0.0119736865600634,21.4786409055485,swim,Sam,20150617-232120
0.00279035132086151,0.0322987410738733,0.00198087356967674,9.20083333365619,0.649444445036352,4.76287138314838,0.0140244581316589,0.699999999999999,1,0,0.0153351188444818,0.0074622908913765,0.0153351188444818,5.42036234473262,swim,Sam,20150701-011150
0.0043940567674449,0.0366877779440701,0.00250416476277917,11.8777777785435,0.912499998696148,7.28635830568422,0.0109516389088069,3,1,0,0.0067426368999249,0.00388105061516369,0.011088034069326,17.9766902679524,swim,Sam,20150711-035239
0.00226377925717936,0.0209893459867837,0.00124691395961765,7.82944444287568,0.513888889923692,2.06136607409644,0.014409055114213,0.900000000000006,1,0,0.0227048542250921,0.0227048542250921,0.0227048542250921,6.54762569145183,swim,Sam,20150902-154925
0.00132296137560901,0.0188285836035896,0.000604461136700548,15.5702777775005,0.640833333134651,1.46643034359576,0.0135320833431077,0.600000000000001,1,0,0.021780391176506,0.021780391176506,0.021780391176506,9.56207228758077,swim,Sam,20150906-233358
0.00283033200598653,0.0365622121513043,0.0018071767182849,15.0988888889551,1.06638889107853,6.61840719740538,0.0135000199983757,1.2,1,0,0.00795423446194655,0.00426409503629402,0.011511936296838,5.0775375688616,swim,Sam,20150911-230539
0.00260890250361912,0.0206284713296869,0.00144833032190616,8.16194444429129,0.799722223542631,3.99424900364884,0.0115284551070742,1.3,1,0,0.0141933653969689,0.00665278880106035,0.0141933653969689,5.48928594764634,swim,Sam,20150928-160940
0.0021029501914261,0.0147957092503167,0.00127619668398283,8.1708333324641,0.774166666902602,3.56342681525832,0.0122562858789766,1.3,1,0,0.0151464866793825,0.00651275894587445,0.0151464866793825,5.25024253274413,swim,Sam,20150930-161013
0.0024857447798435,0.0253506864581892,0.00139905779181543,8.12361110933125,0.739444445818663,2.37201922651,0.0112844499814162,0.900000000000006,1,0,0.0181530881114989,0.00848507120918368,0.0181530881114989,NaN,swim,Sam,20151014-160613
0.0031673299453761,0.0318233980207286,0.00177215297315907,8.34888888895512,0.758055556565523,3.87007166767074,0.0118615275152708,1.8,1,0,0.0150768946316215,0.00782682451885564,0.0150768946316215,6.156955642381,swim,Sam,20151019-162035
0.00288346996845745,0.0287689394859753,0.00129583296878613,8.20749999862164,0.984722223132849,3.62555322857014,0.0099336241139844,1,1,0,0.0171442349681678,0.00668966061436818,0.0171442349681678,NaN,swim,Sam,20151021-161219
0.00216541109207801,0.0323611147378056,0.00131631857595192,8.40722222160548,0.789166666567326,3.57074590109474,0.0122906515629386,1.8,1,0,0.0149363426476124,0.00780638418422999,0.0149363426476124,6.18959183029885,swim,Sam,20151026-162414
0.00120670601872812,0.0170237784033743,0.000755659389075743,8.37666666693985,1.07249999977648,1.76238814473645,0.00946880045328506,1,1,0,0.0242139649214255,0.00992512522182641,0.0242139649214255,NaN,swim,Sam,20151028-162216
0.000406418641287109,0.00657792559695952,0.000153545454126055,7.93916666507721,0.963333332911134,0.470545866186848,0.00413752952405114,1.1,1,0,0.0581138233256994,0.0581138233256994,0.0581138233256994,NaN,swim,Sam,20151030-155538
